PET,AUTO,BABY,DELI,GIFT,MISC,TOYS,DAIRY,BAKERY,FLORAL,ALCOHOL,HOLIDAY,OUTDOOR,PRODUCE,SEAFOOD,ACTIVITY,CLOTHING,COSMETICS,DRY_GOODS,HOUSEHOLD,MEDICATION,ELECTRONICS,FROZEN_FOOD,MEAT_BEEF,MEAT_PORK,CANNED_GOODS,MEAT_OTHER,BULK_PRODUCTS,MEAT_TURKEY,PERSONAL_CARE,GROCERY_STAPLE,MEAT_CHICKEN,MEAT_POULTRY,MEAT_SAUSAGE,SPECIALTY_FOOD,BEVERAGE_WATER,MEDICAL_SUPPLIES,TOBACCO_PRODUCTS,SEASONAL_PRODUCTS,INTERNATIONAL_FOOD,BEVERAGE_NON_WATER,IN_STORE_FOOD_SERVICE,Total
9,0,2,53,25,6,4,361,128,0,13,5,2,633,14,1,16,5,60,80,47,1,162,2,2,42,14,6,25,84,709,51,0,20,1,7,0,0,5,69,126,32,9970.03
0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,15,1,0,7,1,0,0,0,0,0,5,14,0,0,0,0,0,0,0,2,0,0,0,166.25
6,0,36,123,4,0,0,355,137,1,18,0,0,486,22,0,0,3,55,59,2,0,218,40,14,70,39,58,36,20,921,72,1,25,0,37,0,0,0,74,144,65,10651.92
0,0,0,91,23,9,2,369,197,4,27,5,3,507,10,0,4,8,60,119,23,2,62,17,8,77,23,45,2,81,895,14,0,21,1,17,0,7,4,42,180,70,9883.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,71.55
1,0,14,10,3,0,0,214,146,3,140,0,0,438,4,0,0,0,55,7,2,0,191,22,11,34,14,0,1,1,416,6,1,13,1,15,0,0,0,59,75,28,5844.29
8,0,1,3,8,2,0,23,6,0,1,1,0,19,0,0,0,2,8,23,0,0,43,0,0,4,1,0,0,25,72,1,1,1,0,8,0,0,0,0,10,6,1101.64
24,7,0,23,23,13,1,188,152,2,13,2,4,355,5,0,0,9,121,115,37,0,316,54,10,60,50,3,0,93,761,32,1,11,0,67,4,0,1,32,88,45,8088.53
2,0,0,6,4,2,0,4,4,1,0,0,0,8,2,0,0,0,6,2,1,1,11,0,0,1,2,0,0,3,43,4,0,0,0,8,0,0,0,1,32,6,360.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5
24,6,2,33,6,11,4,380,130,6,299,6,7,364,16,1,1,6,200,369,28,0,183,112,5,143,55,4,0,62,1048,112,0,27,7,40,0,176,3,86,181,10,16958.17
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17.22
16,0,0,22,25,3,0,116,78,0,3,2,2,423,18,0,1,0,47,49,49,0,193,106,10,51,18,0,0,15,593,55,1,49,0,6,0,0,0,36,22,59,7845.22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.99
44,2,3,2,2,12,0,247,104,4,1,0,1,29,0,0,3,11,50,123,15,0,385,30,11,31,24,0,0,82,637,26,0,6,1,10,0,0,0,8,133,16,5382.29
159,0,3,69,4,2,0,360,126,60,64,0,3,768,39,0,0,0,74,72,4,0,188,104,57,135,50,48,0,21,685,73,8,88,7,17,0,2,0,64,70,41,9412.85
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.99
2,0,0,111,14,1,0,320,98,12,58,1,3,498,1,1,4,7,148,118,31,0,97,54,20,77,20,4,40,119,854,23,0,20,5,18,0,0,0,93,54,84,10040.33
0,0,0,26,1,1,0,221,244,0,12,0,1,231,14,0,0,0,32,50,5,0,135,31,26,73,40,0,0,10,354,13,7,20,21,3,0,0,0,1,46,41,4349.35
94,5,6,13,10,2,0,235,111,0,34,0,15,343,28,3,5,15,132,401,67,0,33,85,39,256,190,0,2,183,664,25,1,19,1,5,1,0,1,47,118,5,9719.63
1,0,0,29,1,1,0,23,51,0,2,0,0,64,0,0,2,6,2,42,2,1,14,0,2,18,0,17,0,16,111,4,1,0,3,7,0,0,0,0,31,10,1843.98
41,0,6,29,34,13,5,174,305,58,9,20,17,187,2,2,11,16,65,335,11,7,366,14,13,81,37,7,2,192,1086,47,13,7,0,50,0,0,0,0,224,113,12413.58
38,0,0,22,16,0,0,239,52,12,77,5,4,688,78,0,0,0,25,132,6,0,37,41,21,83,17,4,13,118,576,95,1,2,9,12,0,0,0,65,93,118,13608.02
610,19,104,45,31,11,8,204,322,14,25,2,6,396,3,0,3,7,45,376,141,0,296,28,3,119,83,1,7,134,1118,26,0,13,33,140,0,20,2,8,318,71,21177.97
8,0,0,29,4,1,0,235,175,4,5,0,0,580,3,0,0,0,101,67,8,0,237,14,2,145,41,0,1,16,729,26,5,9,0,4,0,35,0,17,223,55,7263.19
19,3,7,41,11,0,0,156,64,0,20,1,1,84,1,0,3,12,18,102,24,0,82,8,1,31,12,0,1,85,419,2,0,4,17,8,0,0,1,2,146,13,4261.22
0,0,8,14,34,0,3,176,65,10,41,6,1,417,74,1,3,10,35,29,36,0,310,29,14,54,22,4,15,21,423,24,0,8,0,15,1,0,0,16,16,14,8840.9
0,0,0,13,0,2,0,302,30,0,57,0,0,72,4,0,1,1,10,73,4,0,132,1,1,18,1,11,32,38,309,39,1,0,4,46,0,0,0,8,102,35,7383.85
15,1,0,22,5,12,1,165,141,5,6,4,1,302,47,0,7,7,48,276,16,1,191,10,5,50,28,3,30,141,751,30,5,7,0,53,0,0,0,15,111,20,8657.77
5,0,2,26,14,2,0,142,193,0,22,2,0,292,25,0,1,6,17,78,19,0,106,83,29,63,62,1,5,73,807,30,7,22,0,30,0,2,0,39,45,25,11044.76
0,0,0,0,3,0,0,7,23,2,2,0,0,22,4,0,0,0,6,25,2,0,17,2,1,3,2,1,1,1,51,8,0,1,0,3,0,0,0,2,1,3,996.17
6,0,2,63,43,2,0,375,102,22,42,2,3,616,23,0,5,7,57,150,10,0,118,77,10,95,61,3,3,171,774,17,3,42,21,56,0,0,7,56,66,69,11104.11
1,0,1,33,3,10,1,112,202,0,0,7,2,262,0,0,0,0,19,43,27,0,278,9,3,96,18,0,1,24,447,15,0,1,0,19,0,0,0,8,125,24,4282.57
2,0,4,4,13,0,0,133,78,1,5,2,0,331,7,0,0,0,30,11,3,0,66,12,8,43,11,2,4,8,432,33,0,15,3,16,0,0,0,20,98,22,4466.52
0,0,9,23,0,86,0,186,75,0,23,0,0,101,7,0,0,1,5,76,17,0,171,15,3,48,67,0,0,12,711,30,0,0,0,23,0,0,1,1,97,79,6874.09
60,2,8,24,45,27,10,269,164,7,102,22,22,692,19,0,5,19,99,144,30,1,249,36,27,196,55,4,3,120,943,67,0,14,4,163,0,0,11,35,72,93,10820.34
1,1,47,66,1,27,2,597,267,9,0,20,1,140,13,2,3,9,287,117,16,1,294,8,16,121,90,8,76,56,1454,17,6,19,3,26,0,0,4,19,176,58,17840.24
0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,76.42
31,2,14,154,2,0,2,227,166,0,19,1,1,223,9,0,2,5,118,363,0,0,559,52,3,58,73,99,0,100,646,126,0,36,0,115,0,0,1,35,151,65,7406.5
0,0,8,82,0,1,0,146,254,1,26,1,0,185,41,0,0,1,127,30,4,0,246,52,21,65,97,0,14,3,991,63,0,77,9,26,0,2,1,23,279,62,10495.56
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,56.52
30,0,1,4,37,0,0,84,97,0,0,0,0,198,0,0,0,0,13,69,8,0,31,64,34,13,40,0,0,3,174,26,0,6,0,0,0,0,0,2,47,1,3654.58
0,0,2,11,16,10,2,81,53,8,16,0,0,100,9,0,1,4,14,136,14,1,64,10,1,16,18,1,5,41,350,44,0,19,2,53,0,0,0,3,60,85,3223.74
111,3,2,44,8,4,1,230,178,20,1,2,6,126,1,0,1,0,59,58,7,0,166,31,16,76,73,3,3,13,546,17,0,36,0,2,0,9,0,13,147,22,9320.93
0,0,2,51,5,4,0,211,105,1,11,1,0,193,17,0,0,0,59,128,3,0,111,57,3,71,72,0,10,45,572,71,14,19,2,17,0,0,0,28,178,127,6295.25
69,1,9,227,3,2,4,332,491,2,3,6,0,141,6,0,0,0,298,62,20,1,504,76,17,173,220,3,0,22,1875,26,0,16,0,40,0,20,1,20,1187,28,13174.86
0,1,3,3,7,2,1,152,151,7,58,2,2,79,0,0,0,3,42,203,33,1,129,38,3,87,45,64,0,69,525,16,0,8,3,10,6,0,0,31,161,82,8526.42
19,3,3,27,6,7,0,166,118,0,60,6,2,156,15,0,0,1,70,143,25,1,132,47,12,79,59,0,1,61,603,39,0,24,0,16,0,20,3,30,151,33,7671.73
1,1,88,202,8,1,2,560,661,6,162,0,4,495,150,0,1,3,503,387,70,2,830,120,35,254,314,29,54,95,2426,251,4,130,17,148,0,189,0,97,925,90,28420.5
0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,38.06
2,0,0,4,3,1,1,88,57,1,2,2,0,24,0,0,0,0,3,9,13,0,13,1,0,2,1,1,0,20,288,0,0,0,5,5,0,0,0,5,321,4,3053.89
57,0,14,27,5,1,0,85,107,0,2,0,0,56,2,0,0,0,61,119,10,1,100,10,6,28,48,0,2,63,606,2,0,5,0,5,0,0,0,7,279,4,3790.22
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69
8,9,88,62,111,5,11,486,299,42,127,9,1,771,98,1,13,13,316,369,95,0,482,47,70,174,92,18,53,213,2356,196,1,43,3,197,0,115,0,98,890,77,30445.22
0,0,2,26,13,0,0,50,66,0,2,0,0,148,19,0,0,2,25,81,15,0,120,10,20,26,17,13,7,189,268,9,0,0,1,159,0,0,0,20,25,93,3996.69
0,0,0,0,1,0,0,9,1,0,0,0,0,20,0,0,0,0,1,17,2,0,5,3,0,0,2,0,0,1,20,0,0,1,0,2,0,0,0,0,2,0,302.39
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,42.9
0,0,0,0,0,0,0,10,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,1,0,0,0,3,0,2,0,0,0,1,94.58
0,1,4,68,4,9,0,345,89,0,151,2,2,468,27,0,7,0,65,152,36,0,108,20,14,227,84,1,1,53,789,11,2,87,6,138,0,0,3,20,55,47,12918.15
109,1,0,75,0,0,0,137,118,1,1,0,0,110,0,0,0,0,61,68,17,0,132,37,11,48,12,4,2,31,320,19,0,60,1,7,0,0,0,37,51,7,4380.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29
134,6,11,21,3,2,0,286,205,4,51,6,1,177,0,1,3,39,231,263,30,1,540,33,2,82,81,0,0,214,1523,104,0,84,15,112,0,0,5,78,189,103,14967.53
28,0,1,49,14,1,2,244,85,24,1,1,3,386,1,0,0,8,27,85,10,0,106,23,15,52,32,43,9,42,696,29,0,40,9,32,0,0,0,50,86,56,7925.89
48,2,4,86,13,15,1,588,228,14,32,11,5,533,9,0,0,34,107,213,40,0,162,32,30,83,45,58,0,238,1142,26,8,19,2,92,1,0,7,39,152,68,14734.1
27,1,5,60,11,3,25,351,225,8,59,13,2,249,0,2,10,39,38,276,30,1,361,1,0,35,18,4,0,193,1084,2,0,27,1,139,0,0,3,51,229,22,14170.45
26,0,225,133,2,0,1,283,276,4,35,8,0,405,1,0,0,4,89,117,10,0,397,72,4,68,15,112,6,60,511,14,0,55,0,133,0,0,2,70,142,28,14035.76
4,2,6,19,1,0,0,115,146,2,5,0,1,129,1,0,2,1,50,66,8,0,114,33,28,43,53,16,0,23,398,27,0,40,0,21,0,9,1,19,81,37,5378.58
2,1,132,119,28,21,0,666,243,17,316,4,3,1013,62,1,3,5,204,90,24,0,402,69,33,261,23,12,6,77,2069,151,1,30,4,112,0,2,4,113,213,188,23359.73
0,0,215,12,108,26,5,653,160,15,45,16,7,742,7,5,18,6,134,259,21,5,280,0,1,57,32,4,0,210,1497,19,0,4,0,52,0,0,11,55,181,65,19869.56
37,0,3,61,21,12,14,325,232,25,148,7,1,1023,6,0,9,2,139,362,40,3,110,33,27,65,24,29,6,127,1369,66,1,35,4,23,0,0,8,195,171,31,18179.54
104,7,7,55,61,132,3,497,302,7,8,3,9,506,47,0,5,18,91,469,182,2,435,11,6,79,47,43,2,558,1720,62,5,1,44,251,0,0,4,36,797,308,28832.9
33,3,287,128,2,5,16,469,417,7,9,3,2,388,2,1,18,6,127,68,13,0,518,68,15,132,146,28,0,47,1225,32,1,59,5,83,0,0,8,113,304,55,15440.57
0,0,0,90,2,75,0,260,67,0,0,0,0,550,0,0,0,0,79,20,2,0,76,1,6,115,0,29,0,90,679,19,0,3,0,1,0,0,0,13,50,35,6557.98
1,0,0,24,0,1,0,188,69,0,8,0,1,59,0,0,0,0,85,56,22,0,74,60,4,23,19,6,0,26,309,2,0,32,0,3,0,1,0,28,108,30,4683.9
0,0,0,5,1,0,1,71,47,0,0,0,1,134,0,0,0,0,5,16,0,0,33,29,6,20,9,0,0,2,137,7,0,7,1,31,0,0,0,0,25,11,1957.85
96,3,22,49,40,4,1,116,114,27,3,7,8,250,7,0,32,0,99,97,43,2,161,34,9,69,23,31,3,38,502,21,0,42,0,17,1,50,2,34,69,43,11188.55
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79
20,0,1,102,20,15,0,648,43,1,27,1,1,489,1,0,0,0,81,244,161,0,117,6,50,58,18,13,20,93,693,13,0,59,0,90,0,7,0,2,39,13,14149
4,0,5,58,8,5,8,139,152,2,5,5,4,269,5,0,9,0,64,76,15,0,196,25,22,82,47,10,1,36,575,21,0,21,5,48,0,0,3,9,134,159,7711.87
0,0,0,138,18,0,0,427,154,5,39,1,0,409,0,0,0,0,105,43,6,0,344,63,12,69,11,65,4,16,526,31,0,8,0,6,0,18,0,78,73,19,8472.45
19,0,3,12,2,0,0,200,69,5,13,0,0,56,3,0,3,12,18,33,7,4,236,1,0,24,16,0,0,45,381,0,0,2,6,4,0,10,0,22,152,6,5050.87
25,3,1,16,22,1,0,106,70,1,106,8,1,106,4,0,0,1,144,127,11,2,153,50,11,135,28,15,2,38,460,29,0,16,0,7,0,23,0,76,27,125,8759.07
3,0,0,73,43,3,0,204,87,8,77,0,3,445,18,1,0,2,85,39,14,0,145,57,16,106,49,21,9,18,697,41,3,13,2,13,0,0,4,49,17,9,9040.26
9,0,0,40,3,0,2,160,216,9,26,0,1,242,35,1,0,0,109,55,3,0,433,56,8,42,51,3,5,9,939,38,0,25,0,65,0,1,2,68,339,42,15351.06
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,23.15
41,5,0,44,7,3,1,121,228,4,1,6,0,149,5,0,3,14,125,103,8,1,489,80,39,95,58,8,1,36,748,17,1,15,0,8,0,51,0,20,277,26,7704.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.69
262,0,1,20,5,0,0,166,328,1,5,0,0,196,6,0,1,4,30,187,12,0,243,76,7,111,50,1,2,78,478,1,0,10,2,4,0,41,0,1,161,44,10038.07
0,1,1,4,3,0,0,50,15,3,10,4,0,64,28,0,0,0,25,33,3,0,40,22,9,22,12,0,1,12,206,13,0,15,1,5,0,0,0,10,50,4,2325.52
0,0,0,11,8,2,2,135,63,6,2,0,0,118,0,0,1,0,28,59,14,2,197,9,15,15,10,7,2,14,255,38,0,3,0,13,0,46,0,24,113,23,3363.1
0,0,31,99,12,1,1,373,105,3,10,8,1,780,11,0,0,1,62,72,27,0,97,44,4,105,12,0,2,62,897,18,0,31,0,15,0,0,1,69,94,22,9407.21
0,2,9,6,21,1,0,43,51,7,16,2,1,329,12,0,6,7,10,32,30,1,27,81,19,10,15,2,0,18,157,16,1,1,3,12,0,9,3,16,53,1,4316.39
2,2,4,21,27,2,2,58,71,13,94,5,0,51,2,0,2,1,17,46,24,1,38,5,1,11,6,3,2,76,730,1,0,7,3,295,0,182,1,25,480,74,8179.85
15,1,1,89,0,12,0,369,196,0,250,0,0,321,83,0,7,5,123,232,11,0,131,58,35,49,37,1,34,61,1330,73,3,26,0,28,0,12,0,117,290,9,15179.61
10,0,13,33,0,5,5,532,194,5,43,4,1,202,24,1,3,7,189,120,3,0,193,38,19,22,65,1,1,58,1046,25,0,22,0,35,0,3,0,57,887,59,8161.76
1,0,2,8,4,4,4,230,65,2,5,0,0,531,19,0,1,1,75,63,3,0,77,6,21,33,11,0,6,47,405,36,7,16,4,4,0,0,3,90,30,15,4043.61
0,0,41,25,4,0,0,254,153,3,88,0,2,527,141,0,3,8,310,302,12,0,319,161,31,125,47,4,57,88,969,115,0,50,36,92,0,2,0,132,294,25,12580.97
0,3,1,141,1,11,11,376,200,9,1,6,0,1181,43,0,1,0,80,76,5,1,130,4,2,61,38,2,0,51,827,62,0,4,0,59,0,0,5,131,88,5,8052.75
0,0,2,264,37,16,2,1009,436,5,21,9,1,1213,119,1,8,23,181,131,10,0,316,61,15,143,133,82,16,93,2191,189,4,72,4,47,0,0,0,169,134,239,26358.31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,33.35
63,4,38,277,3,29,9,299,310,10,22,8,3,419,16,8,13,14,166,382,60,1,173,46,45,147,73,46,27,202,1185,95,2,33,5,193,0,1,5,84,133,180,16990.13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32.18
6,0,14,3,6,0,0,16,7,0,127,2,1,33,1,0,0,0,5,25,6,0,60,34,0,5,1,0,0,60,84,8,1,1,0,0,0,9,0,6,31,17,4481.93
72,0,48,35,22,9,0,316,148,5,19,2,3,804,44,0,0,7,55,168,14,0,92,41,1,83,34,4,15,117,747,107,0,9,1,64,0,0,1,216,352,13,13699.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.41
0,0,0,84,14,2,7,252,183,1,14,12,0,286,4,0,3,8,45,105,12,0,57,40,18,47,26,43,3,17,423,26,28,27,1,7,0,0,0,35,223,119,8935.68
23,0,18,30,17,3,0,274,210,9,166,4,1,292,34,0,0,9,90,280,21,0,362,57,11,173,106,3,34,136,1108,39,2,67,1,138,0,6,0,89,333,67,11878.89
40,0,6,93,9,2,0,185,408,0,32,1,0,145,6,1,4,3,168,107,7,0,547,35,31,263,109,1,0,51,759,38,3,68,0,30,0,2,0,18,299,104,10358.67
7,0,0,55,1,1,0,86,55,0,15,0,0,143,9,0,0,0,2,25,2,0,23,43,16,2,9,0,0,6,181,2,0,0,1,0,0,0,0,3,16,4,4587.69
0,0,1,90,7,0,0,287,101,16,13,1,0,424,0,0,2,1,39,38,2,0,71,15,6,66,17,1,0,59,497,38,0,7,0,7,0,0,0,66,159,12,6258.01
182,0,90,82,15,18,0,273,594,0,20,0,8,563,17,0,3,0,49,143,53,0,372,81,42,187,72,1,3,118,1055,83,0,31,18,86,0,211,0,16,233,39,20822.94
0,0,2,19,32,9,2,133,108,69,128,5,1,332,53,0,6,17,70,245,11,1,75,102,60,37,30,0,8,51,920,94,14,39,0,91,0,0,1,46,89,72,13605.48
74,3,47,57,6,31,8,347,188,2,19,1,2,383,17,2,0,4,71,190,14,0,128,32,0,74,39,1,22,132,902,75,1,22,3,15,0,0,1,45,144,49,10692.16
0,0,5,10,5,1,0,63,39,8,2,0,1,137,10,0,0,0,18,17,2,0,49,0,0,14,6,1,6,17,256,8,0,11,0,18,0,0,0,11,53,4,1803.59
15,6,21,35,15,7,2,301,154,14,34,3,1,321,18,0,6,5,159,114,4,0,211,33,3,67,60,24,3,49,669,31,0,32,1,53,0,0,3,121,221,62,12320.83
17,1,14,16,0,3,1,168,113,0,15,0,2,52,3,1,4,3,25,39,17,0,66,3,0,19,25,5,0,18,373,6,0,18,38,7,0,0,0,16,159,2,5384.3
0,0,2,20,4,2,0,90,86,8,15,4,0,90,0,0,0,0,69,66,2,0,46,0,0,11,9,5,20,29,297,42,0,2,0,27,0,7,0,27,69,7,3148.52
